district,name,match,min_dist,match1,match2,match3,match4,match5,match6,match7,match8,match9,match10,match11,match12,match13,match14,match15,match16,match17,match18,match19,match20,match21,match22,match23,match24,match25,match26,match27,match28,match29,match30,match31,match32,match33,match34,match35,match36,match37,match38,match39,match40,match41,match42,match43,match44,match45
MDG11101,angletere,,6,1er/arrondissement,2e/arrondissement,3e/arrondissement,4e/arrondissement,5e/arrondissement,6e/arrondissement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDG11101,tana/iii,3e/arrondissement,6,1er/arrondissement,2e/arrondissement,3e/arrondissement,4e/arrondissement,5e/arrondissement,6e/arrondissement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDG11101,/tana/iii,3e/arrondissement,6,1er/arrondissement,2e/arrondissement,3e/arrondissement,4e/arrondissement,5e/arrondissement,6e/arrondissement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDG11101,alasoara,Antananarivo Avaradrano,6,1er/arrondissement,2e/arrondissement,3e/arrondissement,4e/arrondissement,5e/arrondissement,6e/arrondissement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDG11101,ambohipo,2e/arrondissement,6,1er/arrondissement,2e/arrondissement,3e/arrondissement,4e/arrondissement,5e/arrondissement,6e/arrondissement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDG11101,ii/arrondissement/cua,2e/arrondissement,6,1er/arrondissement,2e/arrondissement,3e/arrondissement,4e/arrondissement,5e/arrondissement,6e/arrondissement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDG11101,tananarivo,Antananarivo,7,1er/arrondissement,2e/arrondissement,3e/arrondissement,4e/arrondissement,5e/arrondissement,6e/arrondissement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDG11101,antanimora,2e/arrondissement,8,1er/arrondissement,2e/arrondissement,3e/arrondissement,4e/arrondissement,5e/arrondissement,6e/arrondissement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDG11101,andavamamba,1er/arrondissement,8,1er/arrondissement,2e/arrondissement,3e/arrondissement,4e/arrondissement,5e/arrondissement,6e/arrondissement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDG11101,tananarive,Antananarivo,8,1er/arrondissement,2e/arrondissement,3e/arrondissement,4e/arrondissement,5e/arrondissement,6e/arrondissement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDG11101,antsakaviro,3e/arrondissement,8,1er/arrondissement,2e/arrondissement,3e/arrondissement,4e/arrondissement,5e/arrondissement,6e/arrondissement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDG11101,antananarivo,Antananarivo,9,1er/arrondissement,2e/arrondissement,3e/arrondissement,4e/arrondissement,5e/arrondissement,6e/arrondissement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDG11101,firaisana/v,5e/arrondissement,9,1er/arrondissement,2e/arrondissement,3e/arrondissement,4e/arrondissement,5e/arrondissement,6e/arrondissement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDG11101,natananarivo,Antananarivo,9,1er/arrondissement,2e/arrondissement,3e/arrondissement,4e/arrondissement,5e/arrondissement,6e/arrondissement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDG11101,/antananarivo,Antananarivo,9,1er/arrondissement,2e/arrondissement,3e/arrondissement,4e/arrondissement,5e/arrondissement,6e/arrondissement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDG11101,antananarivo,Antananarivo,9,1er/arrondissement,2e/arrondissement,3e/arrondissement,4e/arrondissement,5e/arrondissement,6e/arrondissement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDG11101,anosipatrana,4e/arrondissement,9,1er/arrondissement,2e/arrondissement,3e/arrondissement,4e/arrondissement,5e/arrondissement,6e/arrondissement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDG11101,ampanatanana,,9,1er/arrondissement,2e/arrondissement,3e/arrondissement,4e/arrondissement,5e/arrondissement,6e/arrondissement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDG11101,iv/tananarivo,4e/arrondissement,9,1er/arrondissement,2e/arrondissement,3e/arrondissement,4e/arrondissement,5e/arrondissement,6e/arrondissement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDG11101,ambohidratrimo,Ambohidratrimo,10,1er/arrondissement,2e/arrondissement,3e/arrondissement,4e/arrondissement,5e/arrondissement,6e/arrondissement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDG11101,ampitatafika,Antananarivo Atsimondrano,10,1er/arrondissement,2e/arrondissement,3e/arrondissement,4e/arrondissement,5e/arrondissement,6e/arrondissement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
