"names_tomatch","nest","fixed_best","min_fixed","partial_best","min_partial","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45"
"ampatana est","MG12108","soamalaza mahatsinjo",14,"ampatana mandriankeniheny",3,"soamalaza mahatsinjo","ampatana mandriankeniheny","antsenakely andraikiba","mahazoarivo avarabohitra","antsirabe afovoany atsinanana","manodidina ny gara ambilombe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"avarabohita","MG12108","mahazoarivo avarabohitra",13,"mahazoarivo avarabohitra",1,"mahazoarivo avarabohitra","soamalaza mahatsinjo","antsenakely andraikiba","ampatana mandriankeniheny","antsirabe afovoany atsinanana","manodidina ny gara ambilombe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"andafiatsimon'i star","MG12108","antsenakely andraikiba",17,"antsirabe afovoany atsinanana",12,"antsenakely andraikiba","soamalaza mahatsinjo","mahazoarivo avarabohitra","ampatana mandriankeniheny","antsirabe afovoany atsinanana","manodidina ny gara ambilombe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"antsenakely andriakiba","MG12108","antsenakely andraikiba",1,"antsenakely andraikiba",2,"antsenakely andraikiba","ampatana mandriankeniheny","soamalaza mahatsinjo","antsirabe afovoany atsinanana","mahazoarivo avarabohitra","manodidina ny gara ambilombe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"manod+idina ny gara","MG12108","manodidina ny gara ambilombe",11,"manodidina ny gara ambilombe",1,"manodidina ny gara ambilombe","mahazoarivo avarabohitra","antsenakely andraikiba","soamalaza mahatsinjo","ampatana mandriankeniheny","antsirabe afovoany atsinanana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sabotsy namatoana","MG12108","soamalaza mahatsinjo",13,"antsirabe afovoany atsinanana",9,"soamalaza mahatsinjo","antsenakely andraikiba","mahazoarivo avarabohitra","ampatana mandriankeniheny","antsirabe afovoany atsinanana","manodidina ny gara ambilombe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"avarabpohitra","MG12108","mahazoarivo avarabohitra",13,"mahazoarivo avarabohitra",1,"mahazoarivo avarabohitra","soamalaza mahatsinjo","antsenakely andraikiba","ampatana mandriankeniheny","antsirabe afovoany atsinanana","manodidina ny gara ambilombe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aantsenakely","MG12108","antsenakely andraikiba",12,"antsenakely andraikiba",1,"antsenakely andraikiba","ampatana mandriankeniheny","soamalaza mahatsinjo","mahazoarivo avarabohitra","antsirabe afovoany atsinanana","manodidina ny gara ambilombe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gara","MG12108","soamalaza mahatsinjo",18,"manodidina ny gara ambilombe",0,"soamalaza mahatsinjo","antsenakely andraikiba","mahazoarivo avarabohitra","ampatana mandriankeniheny","manodidina ny gara ambilombe","antsirabe afovoany atsinanana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"antanambao","MG12108","soamalaza mahatsinjo",14,"ampatana mandriankeniheny",4,"soamalaza mahatsinjo","antsenakely andraikiba","ampatana mandriankeniheny","mahazoarivo avarabohitra","manodidina ny gara ambilombe","antsirabe afovoany atsinanana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
