"district","distcode","commune","commcode","long","lat","type","pop_dens","clinic_id"
"Mahabo","MG54509","Mahabo","MG54509010",44.6636,-20.3791,"CSB2",4533.642578125,1476
"Amparafaravola","MG33312","Amparafaravola","MG33312011",48.2215,-17.5887,"CSB2",5038.45458984375,1491
"Andilamena","MG33316","Andilamena","MG33316011",48.5713,-17.0138,"CSB2",3699.44799804688,1503
"Anosibe-An'ala","MG33317","Anosibe An'ala","MG33317011",48.2068,-19.441,"CSB2",4548.8271484375,1511
"Toliary-II","MG51520","Ankililoaka","MG51520310",43.6134,-22.7775,"CSB2",1222.76452636719,1569
"Ampanihy Ouest","MG51507","Ampanihy Ouest","MG51507010",44.7468,-24.698,"CSB2",2756.71630859375,1570
"Ankazoabo","MG51505","Ankazoabo Sud","MG51505011",44.5102,-22.2928,"CSB2",1233.17370605469,1585
"Benenitra","MG51521","Benenitra","MG51521010",45.0724,-23.4491,"CSB2",242.23486328125,1591
"Beroroha","MG51503","Behisatsy","MG51503050",45.1125,-21.7071,"CSB2",613.079895019531,1596
"Betioky Atsimo","MG51506","Betioky Atsimo","MG51506011",44.3816,-23.7171,"CSB2",1777.32360839844,1610
"Morombe","MG51504","Cu Morombe","MG51504010",43.3576,-21.7449,"CSB2",3275.505859375,1630
"Sakaraha","MG51512","Sakaraha","MG51512011",44.5314,-22.9133,"CSB2",6013.9560546875,1639
"Beloha","MG52513","Beloha","MG52513010",45.0577,-25.1732,"CSB2",541.312866210938,1670
