"distcode","district","commcode","commune","long","lat","type","pop_dens","clinic_id"
"MG51501","Toliary-I","MG51501005","Betania",43.6796,-23.3433,"CSB2",18218.005859375,1534
"MG51501","Toliary-I","MG51501003","Mahavatse I",43.6812,-23.3684,"CSB2",8202.619140625,1535
"MG51501","Toliary-I","MG51501002","Tanambao II Tsf Nord",43.6829,-23.3579,"CSB2",11191.0341796875,1537
"MG51501","Toliary-I","MG51501004","Mahavatse II",43.6715,-23.3575,"CSB2",17241.349609375,1538
"MG51520","Toliary-II","MG51520111","Ambohimahavelona",43.8975,-23.4433,"CSB2",599.3955078125,1545
"MG51520","Toliary-II","MG51520150","Ambolofoty",43.8787,-23.5191,"CSB2",206.274810791016,1546
"MG51520","Toliary-II","MG51520132","Anakao",43.6469,-23.6594,"CSB2",400.781158447266,1547
"MG51520","Toliary-II","MG51520270","Andranovory",44.1459,-23.1413,"CSB2",513.853881835938,1549
"MG51520","Toliary-II","MG51520170","Ankilimalinike",43.5636,-22.9548,"CSB2",613.699829101562,1552
"MG51520","Toliary-II","MG51520191","Antanimena Onilahy",44.1032,-23.5424,"CSB2",184.693832397461,1553
"MG51520","Toliary-II","MG51520358","Beheloka",43.697,-24.0003,"CSB2",83.0663681030273,1554
"MG51520","Toliary-II","MG51520072","Behompy",43.9661,-22.9177,"CSB2",0.907832264900208,1555
"MG51520","Toliary-II","MG51520210","Marofoty",43.5399,-22.9324,"CSB2",285.028228759766,1557
"MG51520","Toliary-II","MG51520050","Betsinjaka",43.7034,-23.3685,"CSB2",530.468566894531,1558
"MG51520","Toliary-II","MG51520030","Belalanda",43.611,-23.118,"CSB2",290.955322265625,1559
"MG51520","Toliary-II","MG51520250","Manombo Sud",43.4738,-22.9527,"CSB2",397.369934082031,1560
"MG51520","Toliary-II","MG51520192","Manorofify",43.9703,-23.5293,"CSB2",308.052978515625,1561
"MG51520","Toliary-II","MG51520071","Miary Ambohibola",43.7289,-23.3053,"CSB2",1103.58215332031,1562
"MG51520","Toliary-II","MG51520290","Milenaka",43.587,-22.8361,"CSB2",850.156188964844,1563
"MG51520","Toliary-II","MG51520010","Mitsinjo Betanimena",43.7078,-23.3171,"CSB2",764.966430664062,1564
"MG51520","Toliary-II","MG51520330","Analamisampy",43.6778,-22.4607,"CSB2",721.29052734375,1565
"MG51520","Toliary-II","MG51520133","Soalara Sud",43.7143,-23.5944,"CSB2",494.337585449219,1566
"MG51520","Toliary-II","MG51520131","Saint Augustin",43.7627,-23.5512,"CSB2",674.559326171875,1567
"MG51520","Toliary-II","MG51520230","Tsianisiha",43.5844,-22.9033,"CSB2",271.264282226562,1568
"MG51507","Ampanihy Ouest","MG51507070","Ankilizato",44.6645,-24.5841,"CSB2",113.784721374512,1572
"MG51507","Ampanihy Ouest","MG51507130","Ankilimivory",44.9742,-24.4708,"CSB2",40.8263893127441,1573
"MG51507","Ampanihy Ouest","MG51507110","Antaly",44.7644,-24.3476,"CSB2",19.1686534881592,1574
"MG51507","Ampanihy Ouest","MG51507190","Beahitse",44.4417,-24.1671,"CSB2",383.56640625,1575
"MG51507","Ampanihy Ouest","MG51507170","Belafike Haut",44.5961,-24.2402,"CSB2",18.8021297454834,1576
"MG51507","Ampanihy Ouest","MG51507270","Beroy Atsimo",44.836,-24.0312,"CSB2",28.4511661529541,1577
"MG51507","Ampanihy Ouest","MG51507150","Ejeda",44.5135,-24.3485,"CSB2",1311.26831054688,1578
"MG51507","Ampanihy Ouest","MG51507290","Fotadrevo",44.972,-24.0273,"CSB2",62.0574722290039,1579
"MG51507","Ampanihy Ouest","MG51507210","Gogogogo",44.8067,-24.268,"CSB2",674.642211914062,1580
"MG51507","Ampanihy Ouest","MG51507310","Itampolo",43.8222,-24.3166,"CSB2",0.242494598031044,1581
"MG51507","Ampanihy Ouest","MG51507250","Vohitany",44.732,-24.1149,"CSB2",50.3833122253418,1582
"MG51505","Ankazoabo","MG51505050","Andranomafana",44.2184,-22.2521,"CSB2",1.49854075908661,1584
"MG51505","Ankazoabo","MG51505071","Berenty",45.0521,-22.2954,"CSB2",9.26906299591064,1586
"MG51505","Ankazoabo","MG51505012","Fotivolo",44.5715,-22.407,"CSB2",31.2116508483887,1587
"MG51505","Ankazoabo","MG51505030","Tandrano",44.6388,-22.0848,"CSB2",143.6875,1589
