ran,timestamp,path,R.version,platform,running,data.table,gdistance,Matrix,igraph,rgdal,raster,sp,malariaAtlas,ggplot2,lubridate,dplyr,doParallel,iterators,foreach,rgeos,wpgpDownloadR,RCurl,bitops,forcats,stringr,purrr,readr,tidyr,tibble,tidyverse,glue,triangle,doRNG,rngtools,pkgmaker,registry,magrittr,cowplot,patchwork,lme4,stringdist,beepr,rjags,coda,microbenchmark,rasterVis,latticeExtra,RColorBrewer,lattice,doMPI,Rmpi,rmapshaper,here,knitr,ggmcmc,ggforce,ggridges,jobtime,geosphere,ggsn,jobtime_mins,max_mem_mb,plotly,sf,fasterize
##------ Thu Feb 13 11:09:19 2020 ------##,20200213_110919,R/05_predictions/01_burden_incremental.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"",1.2-17,"",1.4-6,"",1.3-1,"",3.2.1,"",0.8.3,1.0.15,1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,1.3.1,0.12,1.7.1,1.4,0.27,0.5-1,1.5,1.0.0,1.0.0.9000,1.1-21,"",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Thu Feb 13 11:33:11 2020 ------##,20200213_113311,R/05_predictions/01_burden_incremental.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"",1.2-17,"",1.4-6,"",1.3-1,"",3.2.1,"",0.8.3,1.0.15,1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,1.3.1,0.12,1.7.1,1.4,0.27,0.5-1,1.5,1.0.0,1.0.0.9000,1.1-21,"",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Thu Feb 13 11:37:13 2020 ------##,20200213_113713,R/05_predictions/01_burden_incremental.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"",1.2-17,"",1.4-6,"",1.3-1,"",3.2.1,"",0.8.3,1.0.15,1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,1.3.1,0.12,1.7.1,1.4,0.27,0.5-1,1.5,1.0.0,1.0.0.9000,1.1-21,"",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Thu Feb 13 11:49:15 2020 ------##,20200213_114915,R/05_predictions/01_burden_incremental.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"",1.2-17,"",1.4-6,"",1.3-1,"",3.2.1,"",0.8.3,1.0.15,1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,1.3.1,0.12,1.7.1,1.4,0.27,0.5-1,1.5,1.0.0,1.0.0.9000,1.1-21,"",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Thu Feb 13 12:26:28 2020 ------##,20200213_122628,R/01_gis/05_make_shapefiles.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,3.0-7,1.3-1,"","","",0.8.3,"","","",0.5-2,"","","","","","","","","","","",,"",,,"",,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Thu Feb 13 12:33:18 2020 ------##,20200213_123318,R/01_gis/04_run_baseline.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,1.2-2,1.2-17,1.2.4.1,1.4-6,3.0-7,1.3-1,"","",1.7.4,0.8.3,1.0.15,1.0.12,1.4.7,"","","","","","","","","","","","",,"",,,"",,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Thu Feb 13 12:37:43 2020 ------##,20200213_123743,R/01_gis/05_make_shapefiles.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,3.0-7,1.3-1,"","","",0.8.3,"","","",0.5-2,"","","","","","","","","","","",,"",,,"",,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Thu Feb 13 12:40:19 2020 ------##,20200213_124019,R/02_bitedata/01_match_names.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,"",1.3-1,"","","",0.8.3,"","","","","","","","","","","","","","","",,"",,,"",,"","","",0.9.5.2,,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Thu Feb 13 12:40:54 2020 ------##,20200213_124054,R/02_bitedata/02_output_processed.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,"",1.3-1,"","",1.7.4,0.8.3,"","","","","","","","","","","","","","","",,"",,,"",,"","","",0.9.5.2,,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Thu Feb 13 12:44:37 2020 ------##,20200213_124437,R/01_gis/05_make_shapefiles.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,3.0-7,1.3-1,"","","",0.8.3,"","","",0.5-2,"","","","","","","","","","","",,"",,,"",,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Thu Feb 13 13:02:15 2020 ------##,20200213_130215,R/01_gis/05_make_shapefiles.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,3.0-7,1.3-1,"",3.2.1,1.7.4,0.8.3,"","","",0.5-2,"","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",,"",,,"",,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Thu Feb 13 13:07:17 2020 ------##,20200213_130717,R/01_gis/05_make_shapefiles.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,3.0-7,1.3-1,"",3.2.1,1.7.4,0.8.3,"","","",0.5-2,"","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",,"",,,"",,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Thu Feb 13 13:07:59 2020 ------##,20200213_130759,R/02_bitedata/03_estimate_biteinc.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,3.0-7,1.3-1,"",3.2.1,1.7.4,0.8.3,"","","",0.5-2,"","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",,"",,,"",,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Thu Feb 13 16:01:53 2020 ------##,20200213_160153,R/06_sensitivity/01_data_se.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,3.0-7,1.3-1,"",3.2.1,1.7.4,0.8.3,1.0.15,1.0.12,1.4.7,0.5-2,"","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,1.3.1,,1.7.1,1.4,0.27,0.5-1,1.5,"","","","",1.3,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Thu Feb 13 16:04:43 2020 ------##,20200213_160443,R/06_sensitivity/02_model_se.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,3.0-7,1.3-1,"",3.2.1,1.7.4,0.8.3,1.0.15,1.0.12,1.4.7,0.5-2,"","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,1.3.1,,1.7.1,1.4,0.27,0.5-1,1.5,"","","","",1.3,4-9,0.19-3,"",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Thu Feb 13 17:23:33 2020 ------##,20200213_172333,R/06_sensitivity/02_model_se.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,"",1.3-1,"",3.2.1,1.7.4,0.8.3,1.0.15,1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,1.3.1,,"",,,"",,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Fri Feb 14 09:44:36 2020 ------##,20200214_094436,R/03_bitemodels/02_get_modpreds.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","","","","","",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,1.3.1,,"",,,"",,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Fri Feb 14 10:10:54 2020 ------##,20200214_101054,R/04_addclinics/03_ttimes_max.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,1.2-2,1.2-17,1.2.4.1,1.4-6,3.0-7,1.3-1,"",3.2.1,"",0.8.3,1.0.15,1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",,"",,,"",,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Fri Feb 14 10:59:49 2020 ------##,20200214_105949,R/04_addclinics/04_postprocess_ttimes.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,"",1.3-1,"","","","","","","","","","","","","","","","","","","",,"",,,"",,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Fri Feb 14 20:28:41 2020 ------##,20200214_202841,R/01_gis/04_run_baseline.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,1.2-2,1.2-17,1.2.4.1,1.4-6,3.0-7,1.3-1,"","",1.7.4,0.8.3,1.0.15,1.0.12,1.4.7,"","","","","","","","","","","","",,"",,,"",,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Fri Feb 14 20:33:38 2020 ------##,20200214_203338,R/01_gis/05_make_shapefiles.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,3.0-7,1.3-1,"","","",0.8.3,"","","",0.5-2,"","","","","","","","","","","",,"",,,"",,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Fri Feb 14 20:42:20 2020 ------##,20200214_204220,R/01_gis/06_groundtruth.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,3.0-7,1.3-1,"",3.2.1,1.7.4,0.8.3,1.0.15,1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",,"",,,"",,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Sat Feb 15 10:36:40 2020 ------##,20200215_103640,R/06_sensitivity/01_data_se.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","","","","","",3.2.1,1.7.4,0.8.3,"","","","","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",,"",,,"",,"","","","",,"","",1.4-7,,"","","","","","",,,,"","",,"","",,,"","",""
##------ Sat Feb 15 10:52:46 2020 ------##,20200215_105246,R/01_gis/04_run_baseline.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,1.2-2,1.2-17,1.2.4.1,1.4-6,3.0-7,1.3-1,"",3.2.1,1.7.4,0.8.3,1.0.15,1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",,"",,,"",,"","","","",,"","",1.4-7,,"","","","","","",,,,"","",,"","",,,"","",""
##------ Sat Feb 15 11:16:00 2020 ------##,20200215_111600,R/04_addclinics/03_ttimes_max.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,1.2-2,1.2-17,1.2.4.1,1.4-6,3.0-7,1.3-1,"",3.2.1,"",0.8.3,1.0.15,1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",,"",,,"",,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
