ran,timestamp,path,R.version,platform,running,data.table,gdistance,Matrix,igraph,rgdal,raster,sp,malariaAtlas,ggplot2,lubridate,dplyr,doParallel,iterators,foreach,rgeos,wpgpDownloadR,RCurl,bitops,forcats,stringr,purrr,readr,tidyr,tibble,tidyverse,glue,triangle,doRNG,rngtools,pkgmaker,registry,magrittr,cowplot,patchwork,lme4,stringdist,beepr,rjags,coda,microbenchmark,rasterVis,latticeExtra,RColorBrewer,lattice,doMPI,Rmpi,rmapshaper,here,knitr,ggmcmc,ggforce,ggridges,jobtime,geosphere,ggsn,jobtime_mins,max_mem_mb,plotly,sf,fasterize
##------ Sat Feb 15 16:18:12 2020 ------##,20200215_161812,R/01_gis/06_groundtruth.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,3.0-7,1.3-1,"",3.2.1,1.7.4,0.8.3,1.0.15,1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",,"",,,"",,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Sat Feb 15 16:35:48 2020 ------##,20200215_163548,R/04_addclinics/03_ttimes_max.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,1.2-2,1.2-17,1.2.4.1,1.4-6,3.0-7,1.3-1,"",3.2.1,"",0.8.3,1.0.15,1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",,"",,,"",,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Sat Feb 15 17:27:31 2020 ------##,20200215_172731,R/01_gis/06_groundtruth.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,3.0-7,1.3-1,"",3.2.1,1.7.4,0.8.3,1.0.15,1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",,"",,,"",,1.0.0,1.0.0.9000,"","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Sat Feb 15 17:27:58 2020 ------##,20200215_172758,R/01_gis/06_groundtruth.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,3.0-7,1.3-1,"",3.2.1,1.7.4,0.8.3,1.0.15,1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",,"",,,"",,1.0.0,1.0.0.9000,"","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Sat Feb 15 19:11:07 2020 ------##,20200215_191107,R/05_predictions/01_burden.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","","","","","",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",0.12,1.7.1,1.4,0.27,0.5-1,1.5,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Sat Feb 15 23:11:36 2020 ------##,20200215_231136,R/05_predictions/01_burden.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","","","","","",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",0.12,1.7.1,1.4,0.27,0.5-1,1.5,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Sun Feb 16 00:04:05 2020 ------##,20200216_000405,R/04_addclinics/04_postprocess_ttimes.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,"",1.3-1,"","","","","","","","","","","","","","","","","","","",,"",,,"",,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Sun Feb 16 00:08:16 2020 ------##,20200216_000816,R/05_predictions/01_burden.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","","","","","",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",0.12,1.7.1,1.4,0.27,0.5-1,1.5,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Sun Feb 16 00:19:23 2020 ------##,20200216_001923,R/05_predictions/01_burden.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","","","","","",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",0.12,1.7.1,1.4,0.27,0.5-1,1.5,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Sun Feb 16 00:29:07 2020 ------##,20200216_002907,R/05_predictions/01_burden.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","","","","","",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",0.12,1.7.1,1.4,0.27,0.5-1,1.5,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Sun Feb 16 12:19:28 2020 ------##,20200216_121928,R/01_gis/04_run_baseline.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,1.2-2,1.2-17,1.2.4.1,1.4-6,3.0-7,1.3-1,"","",1.7.4,0.8.3,1.0.15,1.0.12,1.4.7,"","","","","","","","","","","","",,"",,,"",,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Sun Feb 16 13:51:05 2020 ------##,20200216_135105,R/06_sensitivity/04_scaling_se.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,"",1.3-1,"",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",0.12,"",,,"",,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Sun Feb 16 13:52:33 2020 ------##,20200216_135233,R/01_gis/05_make_shapefiles.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,3.0-7,1.3-1,"","","",0.8.3,"","","",0.5-2,"","","","","","","","","","","",,"",,,"",,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Sun Feb 16 22:17:21 2020 ------##,20200216_221721,R/03_bitemodels/02_get_modpreds.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","","","","","",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,1.3.1,,"",,,"",,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Mon Feb 17 01:29:11 2020 ------##,20200217_012911,R/03_bitemodels/02_get_modpreds.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","","","","","",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,1.3.1,,"",,,"",,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Mon Feb 17 01:57:36 2020 ------##,20200217_015736,R/03_bitemodels/02_get_modpreds.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","","","","","",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,1.3.1,,"",,,"",,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Mon Feb 17 03:29:44 2020 ------##,20200217_032944,R/03_bitemodels/02_get_modpreds.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","","","","","",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,1.3.1,,"",,,"",,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Mon Feb 17 08:49:39 2020 ------##,20200217_084939,R/03_bitemodels/02_get_modpreds.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","","","","","",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,1.3.1,,"",,,"",,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Mon Feb 17 15:00:06 2020 ------##,20200217_150006,R/06_sensitivity/03_burden_se_pars.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,3.0-7,1.3-1,"",3.2.1,"",0.8.3,"","",1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",,"",,,"",,1.0.0,1.0.0.9000,"","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Tue Feb 18 16:52:27 2020 ------##,20200218_165227,R/03_bitemodels/02_get_modpreds.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","","","","","",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,1.3.1,,"",,,"",,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Fri Feb 21 10:52:50 2020 ------##,20200221_105250,R/03_bitemodels/02_get_modpreds.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","","","","","",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,1.3.1,,"",,,"",,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Fri Feb 21 12:17:29 2020 ------##,20200221_121729,R/03_bitemodels/02_get_modpreds.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","","","","","",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,1.3.1,,1.7.1,1.4,0.27,0.5-1,,1.0.0,1.0.0.9000,"","",,4-9,0.19-3,"",,"","","",0.2.2,0.6-9,"",,,,"","",,"","",,,"","",""
##------ Fri Feb 21 14:40:10 2020 ------##,20200221_144010,R/03_bitemodels/02_get_modpreds.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","","","","","",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,1.3.1,,1.7.1,1.4,0.27,0.5-1,,1.0.0,1.0.0.9000,"","",,4-9,0.19-3,"",,"","","",0.2.2,0.6-9,"",,,,"","",,"","",,,"","",""
##------ Sun Feb 23 12:22:54 2020 ------##,20200223_122254,R/03_bitemodels/02_get_modpreds.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","","","","","",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,1.3.1,,"",,,"",,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Sun Feb 23 18:53:02 2020 ------##,20200223_185302,R/03_bitemodels/02_get_modpreds.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","","","","","",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,1.3.1,,"",,,"",,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Tue Feb 25 01:34:49 2020 ------##,20200225_013449,R/03_bitemodels/02_get_modpreds.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","","","","","",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,1.3.1,,"",,,"",,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Mon Mar  2 15:49:22 2020 ------##,20200302_154922,R/01_gis/05_make_shapefiles.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,3.0-7,1.3-1,"","","",0.8.3,"","","",0.5-2,"","","","","","","","","","","",,"",,,"",,"","","","",,"","","",,"","","","","",0.4.3,,,,"","",,"","",,,"","",""
##------ Mon Mar  2 23:30:07 2020 ------##,20200302_233007,R/03_bitemodels/02_get_modpreds.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","","","","","",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,1.3.1,,"",,,"",,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Mon Mar  2 23:34:56 2020 ------##,20200302_233456,R/03_bitemodels/02_get_modpreds.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","","","","","",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,1.3.1,,"",,,"",,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Tue Mar  3 09:52:40 2020 ------##,20200303_095240,R/03_bitemodels/03_test_OD.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","","","","","",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,1.3.1,,"",,,"",,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Mon Mar  9 09:45:48 2020 ------##,20200309_094548,R/03_bitemodels/03_test_OD.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","","","","","",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,1.3.1,,"",,,"",,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Fri Mar 13 16:05:15 2020 ------##,20200313_160515,R/03_bitemodels/02_OD_test.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","","","","","",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,1.3.1,,"",,,"",,"","","","",,"","","",,"","","","","","",0.1,1.27,,"","",,"","",,,"","",""
##------ Fri Mar 13 16:06:17 2020 ------##,20200313_160617,R/03_bitemodels/03_get_modpreds.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","","","","","",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,1.3.1,,"",,,"",,"","","","",,"","","",,"","","","","","",0.1,1.27,,"","",,"","",,,"","",""
##------ Sun Mar 15 21:18:12 2020 ------##,20200315_211812,R/03_bitemodels/03_get_modpreds.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","","","","","",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,1.3.1,,"",,,"",,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Mon Mar 16 14:23:07 2020 ------##,20200316_142307,R/figures/SM3_bitemods.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,"",1.3-1,"",3.2.1,1.7.4,0.8.3,1.0.15,1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,1.3.1,,1.7.1,1.4,0.27,0.5-1,,1.0.0,1.0.0.9000,"","",,4-9,0.19-3,"",,"","","","","","",,,1.3,"","",,"","",,,"","",""
##------ Mon Mar 16 14:50:50 2020 ------##,20200316_145050,R/M5_modpreds.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","","","","","",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,1.3.1,,"",,,"",,1.0.0,1.0.0.9000,"","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Mon Mar 16 15:44:25 2020 ------##,20200316_154425,R/05_predictions/01_burden.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","","","","","",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",0.12,1.7.1,1.4,0.27,0.5-1,1.5,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Mon Mar 16 16:02:14 2020 ------##,20200316_160214,R/05_predictions/01_burden.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","","","","","",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",0.12,1.7.1,1.4,0.27,0.5-1,1.5,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Mon Mar 16 16:12:53 2020 ------##,20200316_161253,R/05_predictions/01_burden.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,"",1.3-1,"",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,1.3.1,0.12,1.7.1,1.4,0.27,0.5-1,1.5,1.0.0,1.0.0.9000,"","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Mon Mar 16 16:17:48 2020 ------##,20200316_161748,R/05_predictions/01_burden.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,"",1.3-1,"",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,1.3.1,0.12,1.7.1,1.4,0.27,0.5-1,1.5,1.0.0,1.0.0.9000,"","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Mon Mar 16 16:48:05 2020 ------##,20200316_164805,R/05_predictions/01_burden.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,"",1.3-1,"",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,1.3.1,0.12,1.7.1,1.4,0.27,0.5-1,1.5,1.0.0,1.0.0.9000,"","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Mon Mar 16 16:54:59 2020 ------##,20200316_165459,R/05_predictions/01_burden.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,"",1.3-1,"",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,1.3.1,0.12,1.7.1,1.4,0.27,0.5-1,1.5,1.0.0,1.0.0.9000,"","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Wed Mar 18 11:59:21 2020 ------##,20200318_115921,R/05_predictions/01_burden.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","","","","","",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",0.12,1.7.1,1.4,0.27,0.5-1,1.5,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Wed Mar 18 12:08:38 2020 ------##,20200318_120838,R/05_predictions/01_burden.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","","","","","",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",0.12,1.7.1,1.4,0.27,0.5-1,1.5,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Wed Mar 18 12:25:28 2020 ------##,20200318_122528,R/05_predictions/01_burden.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","","","","","",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",0.12,1.7.1,1.4,0.27,0.5-1,1.5,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Wed Mar 18 12:42:36 2020 ------##,20200318_124236,R/05_predictions/01_burden.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,"",1.3-1,"",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,1.3.1,0.12,1.7.1,1.4,0.27,0.5-1,1.5,1.0.0,1.0.0.9000,"","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Thu Mar 19 11:23:18 2020 ------##,20200319_112318,R/05_predictions/01_burden.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","","","","","",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",0.12,1.7.1,1.4,0.27,0.5-1,1.5,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Thu Mar 19 11:34:54 2020 ------##,20200319_113454,R/05_predictions/01_burden.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,"",1.3-1,"",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,1.3.1,0.12,1.7.1,1.4,0.27,0.5-1,1.5,1.0.0,1.0.0.9000,"","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Thu Mar 19 14:30:52 2020 ------##,20200319_143052,R/06_sensitivity/03_burden_se_pars.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","","","","","",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",,"",,,"",,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Sat Mar 21 16:36:42 2020 ------##,20200321_163642,R/06_sensitivity/03_burden_se_pars.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","","","","","",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",,"",,,"",,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Sat Mar 21 16:53:19 2020 ------##,20200321_165319,R/06_sensitivity/04_scaling_se.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,"",1.3-1,"",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",0.12,"",,,"",,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Sun Mar 22 14:51:09 2020 ------##,20200322_145109,R/05_predictions/01_burden.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,"",1.3-1,"",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",0.12,1.7.1,1.4,0.27,0.5-1,1.5,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Sun Mar 22 15:04:17 2020 ------##,20200322_150417,R/06_sensitivity/03_burden_se_pars.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","","","","","",3.2.1,"",0.8.3,"",1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",,"",,,"",,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
