"district","distcode","commune","commcode","clinic_id","long","lat"
"Ambohidratrimo","MG11103","Mahitsy","MG11103150",220,47.3515,-18.7537
"Ambohidratrimo","MG11103","Mahitsy","MG11103150",221,47.3483,-18.7574
"Ambohidratrimo","MG11103","Ampanotokana","MG11103210",222,47.2856,-18.7897
"Ambohidratrimo","MG11103","Manjakavaradrano","MG11103251",223,47.4866,-18.6955
"Ambohidratrimo","MG11103","Merimandroso","MG11103171",224,47.5089,-18.7547
"Ambohidratrimo","MG11103","Talatamaty","MG11103050",225,47.4605,-18.8403
"Ambohidratrimo","MG11103","Talatamaty","MG11103050",226,47.4489,-18.8231
"Ambohidratrimo","MG11103","Antehiroka","MG11103070",227,47.4765,-18.8497
"Ambohidratrimo","MG11103","Ivato Aeroport","MG11103112",228,47.4777,-18.8016
"Ambohidratrimo","MG11103","Ivato Aeroport","MG11103112",229,47.4833,-18.8026
"Ambohidratrimo","MG11103","Ambohidratrimo","MG11103010",230,47.4426,-18.8174
"Ambohidratrimo","MG11103","Talatamaty","MG11103050",231,47.4621,-18.8383
"Tsiroanomandidy","MG14111","Bemahatazana","MG14111290",232,45.9464,-19.0442
"Fenoarivobe","MG14119","Ambohitromby","MG14119071",233,46.4038,-17.9113
"Fenoarivobe","MG14119","Ambohitromby","MG14119071",234,46.421,-17.8925
"Fenoarivobe","MG14119","Fenoarivo Centre","MG14119010",235,46.5643,-18.4526
"Fenoarivobe","MG14119","Fenoarivo Centre","MG14119010",236,46.4615,-18.495
"Fenoarivobe","MG14119","Firavahana","MG14119031",237,46.8862,-18.6273
"Fenoarivobe","MG14119","Firavahana","MG14119031",238,46.8826,-18.5927
"Fenoarivobe","MG14119","Kiranomena","MG14119051",239,46.0517,-18.2965
"Fenoarivobe","MG14119","Mahajeby","MG14119053",240,45.9968,-18.0466
"Fenoarivobe","MG14119","Firavahana","MG14119031",241,46.9461,-18.6329
"Fenoarivobe","MG14119","Tsinjoarivo 22","MG14119052",242,45.8516,-18.3482
"Miarinarivo","MG13112","Alatsinainikely","MG13112112",243,46.5657,-18.9332
"Miarinarivo","MG13112","Ambatomanjaka","MG13112050",244,46.8666,-18.8736
"Miarinarivo","MG13112","Analavory","MG13112111",245,46.716,-18.9734
"Miarinarivo","MG13112","Andolofotsy","MG13112210",246,46.6389,-18.747
"Miarinarivo","MG13112","Anosibe Ifanja","MG13112151",247,46.7528,-18.8829
"Miarinarivo","MG13112","Manazary","MG13112071",248,46.868,-19.0489
"Miarinarivo","MG13112","Mandiavato","MG13112130",249,47.0229,-19.092
"Miarinarivo","MG13112","Miarinarivo II","MG13112030",250,46.9766,-18.9578
"Miarinarivo","MG13112","Soamahamanina","MG13112090",251,47.0167,-18.9903
"Miarinarivo","MG13112","Soavimbazaha","MG13112190",252,47.0384,-18.8093
"Miarinarivo","MG13112","Zoma Bealoka","MG13112170",253,47.0555,-18.8569
"Arivonimamo","MG13105","Alakamisikely","MG13105213",254,47.16,-19.1971
"Arivonimamo","MG13105","Ambatomanga","MG13105190",255,47.2118,-18.8257
"Arivonimamo","MG13105","Ambatomirahavavy","MG13105170",256,47.393,-18.9356
"Arivonimamo","MG13105","Amboanana","MG13105090",257,47.1725,-19.1381
"Arivonimamo","MG13105","Ambohimandry","MG13105230",258,47.3712,-19.0946
"Arivonimamo","MG13105","Ambohimasina","MG13105270",259,47.2687,-18.8247
"Arivonimamo","MG13105","Ambohipandrano","MG13105291",260,47.338,-19.133
"Arivonimamo","MG13105","Ambohitrambo","MG13105050",261,47.1787,-18.9221
"Arivonimamo","MG13105","Ampahimanga","MG13105070",262,47.1974,-19.1047
"Arivonimamo","MG13105","Antambolo","MG13105250",263,47.3183,-18.8325
"Arivonimamo","MG13105","Rambolamasoandro Andranomiely","MG13105216",264,47.1542,-19.3197
"Soavinandriana","MG13113","Ambatoasana Centre","MG13113210",265,46.3845,-19.2009
"Soavinandriana","MG13113","Amberomanga","MG13113132",266,46.6166,-19.2402
"Soavinandriana","MG13113","Amparaky","MG13113131",267,46.6299,-19.3079
"Soavinandriana","MG13113","Ampary","MG13113030",268,46.7098,-19.095
"Soavinandriana","MG13113","Ampefy","MG13113090",269,46.734,-19.044
"Soavinandriana","MG13113","Ankaranana","MG13113150",270,46.6209,-19.0495
"Soavinandriana","MG13113","Ankisabe","MG13113190",271,46.4805,-19.2955
"Andilamena","MG33316","Antanimenabaka","MG33316031",272,48.4902,-16.938
"Soavinandriana","MG13113","Dondona","MG13113012",273,46.8514,-19.1706
"Soavinandriana","MG13113","Mahavelona","MG13113170",274,46.5254,-19.1712
"Soavinandriana","MG13113","Masindray","MG13113071",275,46.7343,-19.2736
"Soavinandriana","MG13113","Soavinandriana","MG13113011",276,46.7382,-19.1709
"Soavinandriana","MG13113","Tamponala","MG13113230",277,46.405,-19.3043
"Arivonimamo","MG13105","Manalalondo","MG13105211",278,47.1127,-19.2569
"Antsirabe I","MG12108","Soamalaza Mahatsinjo","MG12108003",279,47.0431,-19.8758
"Antsirabe I","MG12108","Antsirabe Afovoany Atsinanana","MG12108004",280,47.0448,-19.9273
