"district","distcode","commune","commcode","clinic_id","long","lat"
"Betafo","MG12109","Ambohimasina","MG12109270",477,46.7643,-19.6073
"Betafo","MG12109","Andrembesoa","MG12109490",478,46.5496,-20.1097
"Mandoto","MG12120","Anjoma Ramartina","MG12120070",479,45.9446,-19.6422
"Mandoto","MG12120","Ankazomiriotra","MG12120090",480,46.5338,-19.6591
"Betafo","MG12109","Anosiarivo Manapa","MG12109212",481,46.7702,-20.0545
"Mandoto","MG12120","Antanambao Ambary","MG12120050",482,46.2139,-19.5946
"Betafo","MG12109","Antohobe","MG12109190",483,46.6924,-19.7639
"Betafo","MG12109","Antsoso","MG12109090",484,46.8548,-19.7739
"Betafo","MG12109","Betafo","MG12109010",485,46.856,-19.8351
"Mandoto","MG12120","Betsohana","MG12120030",486,46.387,-19.448
"Mandoto","MG12120","Fidirana","MG12120110",487,46.5661,-19.5119
"Betafo","MG12109","Inanantonana","MG12109290",488,46.6406,-19.6235
"Betafo","MG12109","Mahaiza","MG12109211",489,46.8387,-19.9441
"Mandoto","MG12120","Mandoto","MG12120010",490,46.2919,-19.5803
"Betafo","MG12109","Soavina","MG12109130",491,46.7589,-19.8331
"Betafo","MG12109","Tritriva","MG12109110",492,46.9262,-19.925
"Mandoto","MG12120","Vinany","MG12120150",493,46.4857,-19.6126
"Mandoto","MG12120","Vasiana","MG12120130",494,46.2345,-19.8253
"Mandoto","MG12120","Ankazomiriotra","MG12120090",495,46.5329,-19.6587
"Faratsiho","MG12116","Ambohiborona","MG12116130",496,47.0784,-19.3533
"Faratsiho","MG12116","Valabetokana","MG12116170",497,46.7561,-19.332
"Faratsiho","MG12116","Andranomiady","MG12116090",498,46.9573,-19.2137
"Faratsiho","MG12116","Antsampanimahazo","MG12116030",499,47.041,-19.4172
"Faratsiho","MG12116","Faratsiho","MG12116010",500,46.951,-19.4078
"Faratsiho","MG12116","Miandrarivo","MG12116150",501,46.752,-19.4436
"Faratsiho","MG12116","Ramainandro","MG12116070",502,47.0019,-19.3073
