names_tomatch,match,notes,fixed_best,min_fixed,partial_best,min_partial,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,X101,X102,X103,X104,X105,X106,X107,X108,X109,X110,X111,X112,X113,X114
ambalavao,ambalavao,,ambalavao,0,ambalavao,0,ambalavao,analalava,ambanja,antalaha,sambava,ambatolampy,marolambo,soalala,antsalova,mahabo,ambilobe,betafo,mandoto,ambositra,mahanoro,marovoay,bealanana,besalampy,ankazoabo,sakaraha,beloha,manja,andapa,ankazobe,faratsiho,ambohimahasoa,ikalamavony,vohibato,isandra,fandriana,mananjary,iakora,befotaka,moramanga,andilamena,mahajanga i,ambato boeni,mitsinjo,maevatanana,ambatomainty,maintirano,taolagnaro,morondava,miandrivazo,andramasina,arivonimamo,miarinarivo,lalangina,manandriana,ifanadiana,ikongo,vohipeno,farafangana,vangaindrano,vondrozo,toamasina i,amparafaravola,ambatondrazaka,mahajanga ii,antsohihy,mampikony,tsaratanana,kandreho,beroroha,morombe,bekily,betroka,vohemar,ambohidratrimo,anjozorobe,antsirabe i,antanifotsy,fenoarivobe,ihosy,ivohibe,brickaville,vatomandry,toamasina ii,vavatenina,mandritsara,morafenobe,toliary-i,toliary-ii,benenitra,tsihombe,amboasary-atsimo,antsiranana i,nosy-be,manjakandriana,antsirabe ii,nosy-varika,manakara atsimo,sainte marie,maroantsetra,anosibe-an'ala,ampanihy ouest,antsiranana ii,soavinandriana,fianarantsoa i,fenerive est,ambovombe-androy,ambatofinandrahana,midongy-atsimo,mananara-avaratra,soanierana ivongo,befandriana nord,betioky atsimo,tsiroanomandidy,antanambao manampontsy,antananarivo avaradrano,antananarivo renivohitra,antananarivo atsimondrano,belo sur tsiribihina,port-berge (boriziny-vaovao)
vohipeno,vohipeno,,vohipeno,0,vohipeno,0,vohipeno,vohibato,ivohibe,vondrozo,vohemar,ikongo,mahanoro,kandreho,morafenobe,mahabo,betafo,mandoto,arivonimamo,ihosy,vavatenina,moramanga,andilamena,soalala,mitsinjo,mampikony,maintirano,toliary-i,morombe,tsihombe,bekily,ambilobe,nosy-be,andapa,ankazobe,faratsiho,ambalavao,lalangina,isandra,ambositra,fandriana,iakora,vangaindrano,befotaka,vatomandry,marolambo,marovoay,antsohihy,bealanana,beroroha,ankazoabo,sakaraha,toliary-ii,beloha,taolagnaro,betroka,manja,morondava,ambanja,antalaha,sambava,anjozorobe,antsirabe i,miarinarivo,fenoarivobe,ambohimahasoa,ifanadiana,mananjary,toamasina i,mahajanga i,ambato boeni,analalava,maevatanana,besalampy,antsalova,benenitra,miandrivazo,ambohidratrimo,andramasina,antanifotsy,antsirabe ii,ikalamavony,manandriana,nosy-varika,farafangana,toamasina ii,maroantsetra,fenerive est,anosibe-an'ala,mahajanga ii,mandritsara,tsaratanana,ambatolampy,soavinandriana,brickaville,sainte marie,ambatomainty,antsiranana i,fianarantsoa i,midongy-atsimo,betioky atsimo,ampanihy ouest,ambovombe-androy,antsiranana ii,manjakandriana,tsiroanomandidy,soanierana ivongo,amparafaravola,ambatondrazaka,befandriana nord,manakara atsimo,amboasary-atsimo,ambatofinandrahana,mananara-avaratra,belo sur tsiribihina,antananarivo avaradrano,antanambao manampontsy,antananarivo renivohitra,antananarivo atsimondrano,port-berge (boriziny-vaovao)
maevatanana,maevatanana,,maevatanana,0,maevatanana,0,maevatanana,vavatenina,bealanana,tsaratanana,farafangana,manjakandriana,manandriana,moramanga,mahajanga i,analalava,maintirano,antalaha,andramasina,ambalavao,lalangina,fandriana,ifanadiana,mananjary,befotaka,mahanoro,maroantsetra,andilamena,mahajanga ii,mandritsara,sakaraha,taolagnaro,manja,ambanja,betafo,ambatolampy,faratsiho,mandoto,soavinandriana,ikalamavony,isandra,vangaindrano,toamasina i,vatomandry,marolambo,soalala,marovoay,mampikony,besalampy,ambatomainty,antsalova,morafenobe,ankazoabo,betroka,morondava,mahabo,antsiranana i,sambava,andapa,ankazobe,arivonimamo,miarinarivo,ambohimahasoa,vohibato,ambositra,nosy-varika,vohipeno,iakora,toamasina ii,amparafaravola,ambatondrazaka,ambato boeni,mitsinjo,beroroha,benenitra,beloha,miandrivazo,antsiranana ii,vohemar,anjozorobe,antsirabe i,antanifotsy,fenoarivobe,fianarantsoa i,manakara atsimo,ikongo,ivohibe,vondrozo,sainte marie,anosibe-an'ala,antsohihy,kandreho,toliary-i,morombe,toliary-ii,bekily,ambilobe,antsirabe ii,ambatofinandrahana,ihosy,brickaville,mananara-avaratra,fenerive est,befandriana nord,tsihombe,nosy-be,ambohidratrimo,tsiroanomandidy,midongy-atsimo,soanierana ivongo,ampanihy ouest,ambovombe-androy,amboasary-atsimo,betioky atsimo,antanambao manampontsy,antananarivo avaradrano,belo sur tsiribihina,antananarivo renivohitra,antananarivo atsimondrano,port-berge (boriziny-vaovao)
mandritsara,mandritsara,,mandritsara,0,mandritsara,0,mandritsara,fandriana,manandriana,miandrivazo,andramasina,mandoto,ambositra,mananjary,maroantsetra,benenitra,andapa,faratsiho,isandra,ifanadiana,andilamena,marovoay,analalava,maevatanana,kandreho,antsalova,maintirano,sakaraha,manja,morondava,antalaha,manjakandriana,miarinarivo,fianarantsoa i,iakora,farafangana,vangaindrano,vondrozo,befotaka,mahanoro,marolambo,ambatondrazaka,moramanga,mahajanga i,mitsinjo,mampikony,tsaratanana,ankazoabo,taolagnaro,mahabo,sambava,ankazobe,anjozorobe,antsirabe i,betafo,antanifotsy,soavinandriana,fenoarivobe,ambalavao,ambohimahasoa,lalangina,vohibato,nosy-varika,manakara atsimo,toamasina i,vatomandry,sainte marie,fenerive est,vavatenina,soalala,mahajanga ii,befandriana nord,antsohihy,bealanana,beroroha,morombe,betroka,antsiranana i,ambilobe,ambanja,vohemar,ambohidratrimo,ambatolampy,antsirabe ii,arivonimamo,ikongo,vohipeno,ihosy,ivohibe,midongy-atsimo,toamasina ii,mananara-avaratra,amparafaravola,anosibe-an'ala,morafenobe,toliary-i,beloha,tsihombe,bekily,antsiranana ii,nosy-be,ikalamavony,brickaville,ambato boeni,besalampy,ambatomainty,ampanihy ouest,toliary-ii,amboasary-atsimo,ambatofinandrahana,betioky atsimo,tsiroanomandidy,soanierana ivongo,ambovombe-androy,belo sur tsiribihina,antananarivo avaradrano,antananarivo atsimondrano,antananarivo renivohitra,antanambao manampontsy,port-berge (boriziny-vaovao)
fenoarivobe,fenoarivobe,,fenoarivobe,0,fenoarivobe,0,fenoarivobe,ankazobe,fenerive est,anjozorobe,fandriana,ivohibe,marovoay,morafenobe,beroroha,morombe,ambilobe,nosy-be,betafo,antanifotsy,faratsiho,miarinarivo,ikalamavony,ifanadiana,vondrozo,kandreho,ankazoabo,benenitra,tsihombe,betroka,miandrivazo,antsirabe i,mandoto,ambalavao,vohibato,ambositra,manandriana,mananjary,ikongo,vohipeno,ihosy,iakora,befotaka,toamasina i,brickaville,mahanoro,marolambo,moramanga,soalala,mandritsara,analalava,bealanana,mampikony,besalampy,antsalova,maintirano,toliary-i,sakaraha,toliary-ii,beloha,bekily,manja,morondava,mahabo,antalaha,sambava,andapa,andramasina,antsirabe ii,arivonimamo,fianarantsoa i,lalangina,isandra,nosy-varika,farafangana,vangaindrano,vatomandry,toamasina ii,sainte marie,maroantsetra,vavatenina,amparafaravola,andilamena,ambato boeni,mitsinjo,antsohihy,maevatanana,tsaratanana,taolagnaro,ambanja,vohemar,ambohidratrimo,manjakandriana,ambatolampy,ambohimahasoa,mahajanga i,mahajanga ii,ambatomainty,betioky atsimo,ampanihy ouest,soavinandriana,manakara atsimo,midongy-atsimo,soanierana ivongo,ambatondrazaka,befandriana nord,antsiranana i,tsiroanomandidy,mananara-avaratra,anosibe-an'ala,amboasary-atsimo,antsiranana ii,ambovombe-androy,ambatofinandrahana,belo sur tsiribihina,antananarivo renivohitra,antananarivo avaradrano,antanambao manampontsy,antananarivo atsimondrano,port-berge (boriziny-vaovao)
toliary i,toliary-i,,toliary-i,1,toliary-i,1,toliary-i,toliary-ii,toamasina i,antsirabe i,vohibato,vohipeno,iakora,vondrozo,toamasina ii,soalala,sakaraha,tsihombe,bekily,taolagnaro,vohemar,ankazobe,betafo,antsirabe ii,miarinarivo,lalangina,isandra,ambositra,nosy-varika,mananjary,ikongo,ihosy,ivohibe,vatomandry,mahanoro,marolambo,moramanga,andilamena,mahajanga i,marovoay,analalava,antsohihy,bealanana,kandreho,antsalova,beroroha,morombe,beloha,betroka,manja,morondava,mahabo,ambilobe,nosy-be,ambanja,antalaha,sambava,andapa,anjozorobe,andramasina,ambatolampy,antanifotsy,faratsiho,mandoto,fenoarivobe,ambalavao,ikalamavony,fandriana,ifanadiana,befotaka,vavatenina,mitsinjo,mahajanga ii,mampikony,tsaratanana,besalampy,maintirano,morafenobe,ankazoabo,benenitra,antsiranana i,ambohidratrimo,arivonimamo,soavinandriana,fianarantsoa i,ambohimahasoa,manandriana,farafangana,vangaindrano,brickaville,sainte marie,ambato boeni,mandritsara,maevatanana,ambatomainty,betioky atsimo,miandrivazo,antsiranana ii,manakara atsimo,maroantsetra,fenerive est,ambatondrazaka,anosibe-an'ala,amboasary-atsimo,manjakandriana,tsiroanomandidy,midongy-atsimo,soanierana ivongo,amparafaravola,ampanihy ouest,ambatofinandrahana,befandriana nord,ambovombe-androy,mananara-avaratra,belo sur tsiribihina,antananarivo renivohitra,antananarivo avaradrano,antanambao manampontsy,antananarivo atsimondrano,port-berge (boriziny-vaovao)
fianarantsoa i,fianarantsoa i,,fianarantsoa i,0,fianarantsoa i,0,fianarantsoa i,mahajanga i,faratsiho,fandriana,ifanadiana,farafangana,toamasina i,mahajanga ii,mandritsara,antsiranana i,manjakandriana,andramasina,antanifotsy,manandriana,mananjary,toamasina ii,maroantsetra,analalava,bealanana,tsaratanana,maintirano,ankazoabo,sakaraha,miandrivazo,antsiranana ii,ankazobe,antsirabe i,mandoto,miarinarivo,soavinandriana,fenoarivobe,ikalamavony,lalangina,isandra,manakara atsimo,iakora,vangaindrano,mahanoro,vavatenina,moramanga,marovoay,antsohihy,maevatanana,kandreho,antsalova,ambanja,antalaha,andapa,anjozorobe,ambatolampy,antsirabe ii,arivonimamo,ambalavao,ambohimahasoa,vohibato,ambositra,ikongo,midongy-atsimo,vondrozo,vatomandry,marolambo,sainte marie,mananara-avaratra,fenerive est,soanierana ivongo,amparafaravola,andilamena,soalala,ambato boeni,mitsinjo,befandriana nord,morafenobe,toliary-i,toliary-ii,benenitra,taolagnaro,manja,morondava,mahabo,sambava,betafo,tsiroanomandidy,nosy-varika,vohipeno,ihosy,befotaka,ambatondrazaka,mampikony,besalampy,ambatomainty,beroroha,morombe,betioky atsimo,betroka,amboasary-atsimo,ambilobe,nosy-be,ambohidratrimo,ivohibe,brickaville,anosibe-an'ala,ampanihy ouest,beloha,tsihombe,vohemar,ambatofinandrahana,bekily,ambovombe-androy,antanambao manampontsy,antananarivo avaradrano,antananarivo atsimondrano,belo sur tsiribihina,antananarivo renivohitra,port-berge (boriziny-vaovao)
ampanihy,ampanihy ouest,,ambanja,4,ampanihy ouest,0,ambanja,mananjary,mahanoro,antsohihy,mampikony,manja,antalaha,ankazobe,antanifotsy,faratsiho,mandoto,ambalavao,lalangina,isandra,ambositra,vatomandry,marovoay,ampanihy ouest,sakaraha,bekily,mahabo,ambilobe,sambava,andapa,betafo,ambatolampy,manandriana,ikongo,ihosy,ivohibe,iakora,vavatenina,moramanga,soalala,mitsinjo,analalava,bealanana,kandreho,besalampy,ambatomainty,antsalova,beroroha,morombe,ankazoabo,benenitra,beloha,taolagnaro,andramasina,arivonimamo,miarinarivo,ikalamavony,vohibato,fandriana,ifanadiana,vohipeno,farafangana,vondrozo,befotaka,toamasina i,marolambo,andilamena,mahajanga i,maevatanana,tsaratanana,maintirano,morafenobe,toliary-i,tsihombe,betroka,morondava,miandrivazo,nosy-be,vohemar,anjozorobe,antsirabe i,fenoarivobe,ambohimahasoa,nosy-varika,vangaindrano,brickaville,toamasina ii,maroantsetra,ambato boeni,mahajanga ii,mandritsara,toliary-ii,ambohidratrimo,manjakandriana,antsirabe ii,soavinandriana,tsiroanomandidy,sainte marie,amparafaravola,ambatondrazaka,antsiranana i,fianarantsoa i,fenerive est,anosibe-an'ala,ambovombe-androy,antsiranana ii,manakara atsimo,midongy-atsimo,betioky atsimo,amboasary-atsimo,ambatofinandrahana,soanierana ivongo,befandriana nord,mananara-avaratra,antanambao manampontsy,belo sur tsiribihina,antananarivo renivohitra,antananarivo avaradrano,antananarivo atsimondrano,port-berge (boriziny-vaovao)
marovoay,marovoay,,marovoay,0,marovoay,0,marovoay,mandoto,mananjary,iakora,mahanoro,marolambo,mampikony,beroroha,morombe,manja,morondava,mahabo,ambalavao,ihosy,beloha,betroka,ambilobe,ambanja,sambava,andapa,ankazobe,betafo,ambatolampy,faratsiho,arivonimamo,fenoarivobe,ikalamavony,isandra,ambositra,fandriana,ikongo,ivohibe,vondrozo,befotaka,vatomandry,moramanga,soalala,mitsinjo,mandritsara,antsohihy,kandreho,antsalova,maintirano,morafenobe,ankazoabo,sakaraha,bekily,miandrivazo,antalaha,vohemar,anjozorobe,antanifotsy,miarinarivo,lalangina,vohibato,manandriana,ifanadiana,vohipeno,farafangana,maroantsetra,mahajanga i,ambato boeni,analalava,bealanana,maevatanana,tsaratanana,besalampy,ambatomainty,toliary-i,tsihombe,taolagnaro,nosy-be,toamasina i,vavatenina,amparafaravola,andilamena,mahajanga ii,toliary-ii,benenitra,andramasina,antsirabe i,tsiroanomandidy,fianarantsoa i,ambohimahasoa,nosy-varika,vangaindrano,brickaville,toamasina ii,sainte marie,fenerive est,ambatondrazaka,ambovombe-androy,ambohidratrimo,manjakandriana,antsirabe ii,midongy-atsimo,ampanihy ouest,antsiranana i,soavinandriana,manakara atsimo,mananara-avaratra,anosibe-an'ala,betioky atsimo,amboasary-atsimo,antsiranana ii,soanierana ivongo,befandriana nord,ambatofinandrahana,antananarivo avaradrano,antanambao manampontsy,antananarivo renivohitra,belo sur tsiribihina,antananarivo atsimondrano,port-berge (boriziny-vaovao)
mahanoro,mahanoro,,mahanoro,0,mahanoro,0,mahanoro,mahabo,mandoto,mananjary,isandra,iakora,marovoay,taolagnaro,manja,ambanja,ankazobe,betafo,faratsiho,miarinarivo,ambalavao,lalangina,vohibato,manandriana,ikongo,vohipeno,ihosy,vondrozo,vatomandry,marolambo,moramanga,mahajanga i,mitsinjo,bealanana,mampikony,kandreho,maintirano,morafenobe,ankazoabo,sakaraha,ambilobe,vohemar,anjozorobe,ambositra,vangaindrano,maroantsetra,vavatenina,soalala,mahajanga ii,analalava,maevatanana,antsalova,beroroha,morombe,benenitra,beloha,betroka,morondava,miandrivazo,antalaha,sambava,andapa,ambatolampy,antanifotsy,ikalamavony,fandriana,ifanadiana,ivohibe,farafangana,befotaka,toamasina i,ambato boeni,mandritsara,antsohihy,tsaratanana,besalampy,toliary-i,tsihombe,bekily,nosy-be,manjakandriana,andramasina,arivonimamo,fenoarivobe,ambohimahasoa,toamasina ii,amparafaravola,andilamena,ambatomainty,toliary-ii,ambohidratrimo,antsirabe i,soavinandriana,fianarantsoa i,nosy-varika,manakara atsimo,brickaville,sainte marie,ambatondrazaka,ampanihy ouest,antsiranana i,antsirabe ii,midongy-atsimo,befandriana nord,ambovombe-androy,antsiranana ii,tsiroanomandidy,mananara-avaratra,fenerive est,soanierana ivongo,anosibe-an'ala,betioky atsimo,amboasary-atsimo,ambatofinandrahana,antananarivo avaradrano,antanambao manampontsy,antananarivo renivohitra,antananarivo atsimondrano,belo sur tsiribihina,port-berge (boriziny-vaovao)
antananarivo,antananarivo renivohitra,,miarinarivo,5,antananarivo renivohitra,0,miarinarivo,analalava,antsiranana ii,antsiranana i,antalaha,manjakandriana,andramasina,antanifotsy,ambalavao,manandriana,mananjary,vangaindrano,mahanoro,amparafaravola,antsalova,ankazoabo,taolagnaro,antsirabe i,faratsiho,antsirabe ii,fenoarivobe,lalangina,fandriana,nosy-varika,manakara atsimo,vatomandry,sainte marie,mahajanga i,mahajanga ii,antsohihy,bealanana,maevatanana,tsaratanana,kandreho,maintirano,miandrivazo,ambanja,andapa,ambohidratrimo,ankazobe,anjozorobe,betafo,ambatolampy,mandoto,arivonimamo,soavinandriana,ikalamavony,isandra,ifanadiana,farafangana,vondrozo,toamasina i,marolambo,toamasina ii,vavatenina,soanierana ivongo,moramanga,andilamena,soalala,mitsinjo,mandritsara,ambatomainty,toliary-i,sakaraha,manja,morondava,mahabo,sambava,fianarantsoa i,ambohimahasoa,vohibato,ambositra,ikongo,vohipeno,iakora,midongy-atsimo,befotaka,maroantsetra,ambatondrazaka,ambato boeni,marovoay,besalampy,morafenobe,betioky atsimo,toliary-ii,benenitra,betroka,amboasary-atsimo,vohemar,antananarivo avaradrano,tsiroanomandidy,ivohibe,brickaville,mananara-avaratra,anosibe-an'ala,befandriana nord,mampikony,beroroha,ampanihy ouest,beloha,tsihombe,bekily,ambilobe,nosy-be,antananarivo renivohitra,ambatofinandrahana,ihosy,fenerive est,morombe,antananarivo atsimondrano,ambovombe-androy,antanambao manampontsy,belo sur tsiribihina,port-berge (boriziny-vaovao)
manakara atsimo,manakara atsimo,,manakara atsimo,0,manakara atsimo,0,manakara atsimo,amboasary-atsimo,andramasina,faratsiho,midongy-atsimo,betioky atsimo,ambohidratrimo,miarinarivo,manandriana,mananara-avaratra,mahajanga i,mahajanga ii,mandritsara,analalava,ankazoabo,sakaraha,manjakandriana,antsirabe i,antanifotsy,antsirabe ii,mandoto,fianarantsoa i,ambalavao,mananjary,mahanoro,marolambo,amparafaravola,maevatanana,maintirano,miandrivazo,antsiranana ii,antsiranana i,antalaha,ankazobe,arivonimamo,ambohimahasoa,ikalamavony,fandriana,ifanadiana,iakora,farafangana,vangaindrano,toamasina i,toamasina ii,maroantsetra,soanierana ivongo,moramanga,mitsinjo,bealanana,tsaratanana,kandreho,ambatomainty,antsalova,taolagnaro,manja,mahabo,andapa,ambatolampy,tsiroanomandidy,fenoarivobe,lalangina,vohibato,isandra,nosy-varika,vondrozo,sainte marie,fenerive est,vavatenina,ambatondrazaka,andilamena,anosibe-an'ala,soalala,ambato boeni,marovoay,befandriana nord,antsohihy,morafenobe,toliary-i,ampanihy ouest,toliary-ii,morondava,ambanja,sambava,anjozorobe,antananarivo atsimondrano,betafo,soavinandriana,ambositra,ikongo,befotaka,brickaville,vatomandry,mampikony,besalampy,beroroha,morombe,benenitra,bekily,betroka,vohemar,ambatofinandrahana,vohipeno,ihosy,ivohibe,beloha,tsihombe,ambovombe-androy,ambilobe,nosy-be,antananarivo avaradrano,antanambao manampontsy,antananarivo renivohitra,belo sur tsiribihina,port-berge (boriziny-vaovao)
boriziny (pt-berger),port-berge (boriziny-vaovao),,maroantsetra,15,port-berge (boriziny-vaovao),10,maroantsetra,morafenobe,betioky atsimo,nosy-be,soavinandriana,nosy-varika,vohipeno,brickaville,sainte marie,moramanga,maintirano,toliary-i,morombe,ampanihy ouest,toliary-ii,benenitra,ambohidratrimo,ankazobe,anjozorobe,antsirabe i,antsirabe ii,arivonimamo,miarinarivo,fenoarivobe,fianarantsoa i,vohibato,isandra,ambositra,ikongo,ivohibe,farafangana,vangaindrano,midongy-atsimo,vondrozo,toamasina i,toamasina ii,mananara-avaratra,fenerive est,soanierana ivongo,ambato boeni,mandritsara,befandriana nord,kandreho,beroroha,tsihombe,bekily,betroka,morondava,ambilobe,vohemar,manjakandriana,betafo,antanifotsy,faratsiho,mandoto,tsiroanomandidy,lalangina,fandriana,manandriana,ifanadiana,mananjary,manakara atsimo,ihosy,iakora,befotaka,vatomandry,mahanoro,marolambo,vavatenina,andilamena,anosibe-an'ala,mahajanga i,marovoay,mitsinjo,antsohihy,bealanana,mampikony,besalampy,antsalova,ankazoabo,beloha,taolagnaro,amboasary-atsimo,belo sur tsiribihina,miandrivazo,antalaha,andapa,andramasina,ambatolampy,ambalavao,ambohimahasoa,ikalamavony,ambatofinandrahana,ambatondrazaka,soalala,mahajanga ii,analalava,maevatanana,tsaratanana,ambatomainty,sakaraha,ambovombe-androy,manja,mahabo,antsiranana ii,antsiranana i,ambanja,sambava,antananarivo avaradrano,amparafaravola,antananarivo renivohitra,antanambao manampontsy,antananarivo atsimondrano,port-berge (boriziny-vaovao)
mananara avaratra,mananara-avaratra,,mananara-avaratra,1,mananara-avaratra,1,mananara-avaratra,manakara atsimo,antananarivo avaradrano,manandriana,manjakandriana,mananjary,maroantsetra,amparafaravola,mandritsara,analalava,andramasina,fianarantsoa i,farafangana,befandriana nord,maevatanana,tsaratanana,miandrivazo,antsiranana ii,antsiranana i,miarinarivo,ambalavao,ambatofinandrahana,fandriana,ifanadiana,nosy-varika,vangaindrano,mahanoro,sainte marie,ambatondrazaka,moramanga,anosibe-an'ala,mahajanga i,marovoay,mahajanga ii,antsalova,maintirano,ampanihy ouest,sakaraha,benenitra,morondava,antalaha,antananarivo renivohitra,antsirabe i,antanifotsy,antsirabe ii,mandoto,soavinandriana,fenoarivobe,ambohimahasoa,ikalamavony,lalangina,isandra,ambositra,marolambo,antanambao manampontsy,soanierana ivongo,andilamena,bealanana,ambatomainty,ankazoabo,taolagnaro,amboasary-atsimo,manja,ambanja,sambava,andapa,ambohidratrimo,ankazobe,anjozorobe,ambatolampy,faratsiho,arivonimamo,iakora,midongy-atsimo,toamasina i,vatomandry,toamasina ii,fenerive est,vavatenina,soalala,ambato boeni,kandreho,morafenobe,beroroha,mahabo,antananarivo atsimondrano,tsiroanomandidy,vohibato,vondrozo,befotaka,brickaville,antsohihy,mampikony,besalampy,toliary-i,morombe,betioky atsimo,toliary-ii,ambovombe-androy,betroka,vohemar,betafo,ikongo,ivohibe,mitsinjo,beloha,ambilobe,nosy-be,vohipeno,ihosy,tsihombe,bekily,belo sur tsiribihina,port-berge (boriziny-vaovao)
mananjary,mananjary,,mananjary,0,mananjary,0,mananjary,mahanoro,manja,ambanja,manandriana,marovoay,mandoto,lalangina,isandra,fandriana,ifanadiana,vatomandry,moramanga,mahajanga i,mandritsara,analalava,bealanana,mampikony,maintirano,ankazoabo,sakaraha,benenitra,taolagnaro,morondava,mahabo,antalaha,andapa,ankazobe,ambatolampy,antanifotsy,faratsiho,miarinarivo,ambalavao,ambositra,iakora,farafangana,vangaindrano,marolambo,maroantsetra,soalala,mitsinjo,mahajanga ii,antsohihy,maevatanana,kandreho,besalampy,miandrivazo,sambava,vohemar,manjakandriana,anjozorobe,betafo,ikalamavony,vohibato,ikongo,ihosy,vondrozo,befotaka,toamasina i,sainte marie,vavatenina,andilamena,tsaratanana,ambatomainty,antsalova,morafenobe,toliary-i,morombe,beloha,bekily,betroka,ambilobe,nosy-be,andramasina,antsirabe i,arivonimamo,soavinandriana,fenoarivobe,fianarantsoa i,nosy-varika,vohipeno,ivohibe,toamasina ii,beroroha,toliary-ii,tsihombe,antsiranana i,antsirabe ii,tsiroanomandidy,manakara atsimo,brickaville,mananara-avaratra,amparafaravola,ambatondrazaka,anosibe-an'ala,ambato boeni,antsiranana ii,ambohidratrimo,ambohimahasoa,midongy-atsimo,fenerive est,befandriana nord,ampanihy ouest,ambatofinandrahana,ambovombe-androy,amboasary-atsimo,soanierana ivongo,betioky atsimo,antananarivo avaradrano,antanambao manampontsy,antananarivo renivohitra,antananarivo atsimondrano,belo sur tsiribihina,port-berge (boriziny-vaovao)
ambositra,ambositra,,ambositra,0,ambositra,0,ambositra,benenitra,ambanja,ambalavao,iakora,maroantsetra,mitsinjo,mandritsara,ambilobe,sambava,ambohidratrimo,ambatolampy,faratsiho,mandoto,ambohimahasoa,lalangina,isandra,fandriana,mananjary,ihosy,ivohibe,befotaka,mahanoro,marolambo,soalala,marovoay,analalava,antsohihy,ambatomainty,antsalova,maintirano,beroroha,morombe,beloha,bekily,betroka,manja,morondava,nosy-be,antalaha,andapa,vohemar,ankazobe,anjozorobe,andramasina,antsirabe i,betafo,antanifotsy,arivonimamo,vohibato,manandriana,ifanadiana,ikongo,vohipeno,toamasina i,vatomandry,vavatenina,moramanga,andilamena,ambato boeni,bealanana,mampikony,toliary-i,ankazoabo,sakaraha,taolagnaro,mahabo,antsirabe ii,miarinarivo,fenoarivobe,nosy-varika,farafangana,vangaindrano,vondrozo,toamasina ii,ambatondrazaka,mahajanga i,maevatanana,tsaratanana,kandreho,besalampy,toliary-ii,tsihombe,ikalamavony,brickaville,sainte marie,amparafaravola,anosibe-an'ala,mahajanga ii,morafenobe,amboasary-atsimo,miandrivazo,antsiranana i,manjakandriana,soavinandriana,fianarantsoa i,ambatofinandrahana,fenerive est,ampanihy ouest,ambovombe-androy,antsiranana ii,midongy-atsimo,betioky atsimo,tsiroanomandidy,manakara atsimo,mananara-avaratra,befandriana nord,soanierana ivongo,belo sur tsiribihina,antanambao manampontsy,antananarivo renivohitra,antananarivo avaradrano,antananarivo atsimondrano,port-berge (boriziny-vaovao)
befandriana avaratra,befandriana nord,,befandriana nord,7,befandriana nord,7,befandriana nord,mananara-avaratra,fandriana,antananarivo avaradrano,manandriana,mandritsara,andramasina,ambatofinandrahana,ifanadiana,farafangana,maroantsetra,soanierana ivongo,amparafaravola,analalava,bealanana,benenitra,miandrivazo,manjakandriana,miarinarivo,soavinandriana,fianarantsoa i,mananjary,manakara atsimo,vangaindrano,fenerive est,andilamena,anosibe-an'ala,tsaratanana,antsiranana ii,antsiranana i,antanifotsy,ambalavao,lalangina,isandra,nosy-varika,befotaka,toamasina i,brickaville,toamasina ii,sainte marie,ambatondrazaka,maevatanana,antsalova,maintirano,beroroha,betioky atsimo,ampanihy ouest,sakaraha,morondava,antalaha,andapa,antananarivo renivohitra,antsirabe i,faratsiho,antsirabe ii,mandoto,arivonimamo,tsiroanomandidy,fenoarivobe,ambohimahasoa,ikalamavony,ambositra,iakora,vatomandry,mahanoro,antanambao manampontsy,vavatenina,moramanga,mahajanga i,marovoay,mahajanga ii,kandreho,besalampy,ambatomainty,ankazoabo,taolagnaro,betroka,amboasary-atsimo,ambanja,sambava,ambohidratrimo,ankazobe,anjozorobe,betafo,ambatolampy,vohibato,midongy-atsimo,vondrozo,marolambo,soalala,ambato boeni,toliary-i,toliary-ii,beloha,bekily,manja,belo sur tsiribihina,antananarivo atsimondrano,ivohibe,mitsinjo,antsohihy,mampikony,morafenobe,ambovombe-androy,mahabo,ambilobe,vohemar,ikongo,vohipeno,ihosy,morombe,tsihombe,nosy-be,port-berge (boriziny-vaovao)
