names_tomatch,match,fixed_best,min_fixed,partial_best,min_partial,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,X101,X102,X103,X104,X105,X106,X107,X108,X109,X110,X111,X112,X113,X114,X115,X116,X117,X118,X119
anjozorobe,anjozorobe,anjozorobe,0,anjozorobe,0,anjozorobe,ankazobe,ankazoabo,morombe,ambilobe,nosy-be,antsirabe i,mandoto,fenoarivobe,ivohibe,vondrozo,mahanoro,antsohihy,antsalova,morafenobe,beroroha,tsihombe,antanifotsy,antsirabe ii,ambositra,mananjary,ikongo,iakora,marolambo,andilamena,ambato boeni,marovoay,analalava,kandreho,betroka,manja,antalaha,andapa,andramasina,betafo,ambatolampy,faratsiho,arivonimamo,ambalavao,vohibato,isandra,fandriana,manandriana,vohipeno,ihosy,vangaindrano,befotaka,vatomandry,sainte marie,soalala,mitsinjo,mandritsara,mampikony,maintirano,toliary-i,sakaraha,benenitra,beloha,taolagnaro,morondava,mahabo,ambanja,vohemar,manjakandriana,miarinarivo,ikalamavony,lalangina,ifanadiana,nosy-varika,farafangana,brickaville,vavatenina,moramanga,mahajanga i,mahajanga ii,bealanana,maevatanana,besalampy,ambatomainty,toliary-ii,bekily,miandrivazo,sambava,ambohidratrimo,fianarantsoa i,ambohimahasoa,toamasina i,toamasina ii,maroantsetra,fenerive est,amparafaravola,ambatondrazaka,tsaratanana,ampanihy ouest,antsiranana i,soavinandriana,anosibe-an'ala,ambovombe-androy,antsiranana ii,tsiroanomandidy,manakara atsimo,midongy-atsimo,befandriana nord,betioky atsimo,amboasary-atsimo,2e arrondissement,3e arrondissement,4e arrondissement,5e arrondissement,6e arrondissement,mananara-avaratra,soanierana ivongo,1er arrondissement,ambatofinandrahana,belo sur tsiribihina,antanambao manampontsy,antananarivo avaradrano,antananarivo atsimondrano,port-berge (boriziny-vaovao)
amparafaravola,amparafaravola,amparafaravola,0,amparafaravola,0,amparafaravola,miarinarivo,ambalavao,ambohimahasoa,farafangana,ambatondrazaka,analalava,tsaratanana,andramasina,ikalamavony,manandriana,mahanoro,marolambo,moramanga,marovoay,maevatanana,maintirano,morafenobe,sakaraha,morondava,manjakandriana,ambatolampy,faratsiho,fenoarivobe,ambatofinandrahana,ambositra,ifanadiana,mananjary,manakara atsimo,vangaindrano,maroantsetra,mananara-avaratra,mahajanga i,soalala,mahajanga ii,mandritsara,bealanana,ambatomainty,antsalova,beroroha,ankazoabo,ampanihy ouest,taolagnaro,mahabo,miandrivazo,antsiranana ii,antsiranana i,ambanja,antalaha,sambava,ambohidratrimo,ankazobe,anjozorobe,antsirabe i,betafo,antanifotsy,mandoto,arivonimamo,fianarantsoa i,lalangina,isandra,fandriana,nosy-varika,iakora,befotaka,toamasina i,brickaville,toamasina ii,vavatenina,soanierana ivongo,andilamena,anosibe-an'ala,ambato boeni,mampikony,kandreho,betroka,amboasary-atsimo,manja,ambilobe,andapa,antsirabe ii,soavinandriana,vohibato,vondrozo,vatomandry,sainte marie,mitsinjo,befandriana nord,besalampy,toliary-i,morombe,toliary-ii,benenitra,beloha,vohemar,tsiroanomandidy,ikongo,vohipeno,ihosy,midongy-atsimo,fenerive est,antsohihy,ambovombe-androy,bekily,ivohibe,betioky atsimo,tsihombe,nosy-be,2e arrondissement,3e arrondissement,4e arrondissement,5e arrondissement,6e arrondissement,antananarivo avaradrano,1er arrondissement,antanambao manampontsy,antananarivo atsimondrano,belo sur tsiribihina,port-berge (boriziny-vaovao)
andilamena,andilamena,andilamena,0,andilamena,0,andilamena,andramasina,fandriana,analalava,antalaha,andapa,antsirabe i,ifanadiana,bealanana,antsalova,ambilobe,ankazobe,antsirabe ii,ambalavao,lalangina,isandra,manandriana,vohipeno,iakora,marolambo,moramanga,soalala,mandritsara,maevatanana,kandreho,besalampy,maintirano,antsiranana i,ambanja,anjozorobe,ambatolampy,mandoto,ikalamavony,vohibato,ambositra,mananjary,farafangana,vangaindrano,befotaka,vavatenina,antsohihy,mampikony,tsaratanana,toliary-i,ankazoabo,sakaraha,beloha,tsihombe,bekily,taolagnaro,manja,miandrivazo,antsiranana ii,nosy-be,sambava,manjakandriana,betafo,antanifotsy,arivonimamo,miarinarivo,ambohimahasoa,nosy-varika,ikongo,ihosy,ivohibe,vondrozo,toamasina i,vatomandry,mahanoro,sainte marie,maroantsetra,fenerive est,anosibe-an'ala,ambato boeni,marovoay,mitsinjo,ambatomainty,morafenobe,beroroha,morombe,toliary-ii,benenitra,betroka,morondava,mahabo,vohemar,2e arrondissement,3e arrondissement,4e arrondissement,5e arrondissement,6e arrondissement,faratsiho,soavinandriana,fenoarivobe,brickaville,toamasina ii,ambatondrazaka,mahajanga i,1er arrondissement,ambohidratrimo,fianarantsoa i,amparafaravola,mahajanga ii,befandriana nord,ampanihy ouest,tsiroanomandidy,manakara atsimo,midongy-atsimo,betioky atsimo,ambovombe-androy,ambatofinandrahana,mananara-avaratra,soanierana ivongo,amboasary-atsimo,antanambao manampontsy,belo sur tsiribihina,antananarivo avaradrano,antananarivo atsimondrano,port-berge (boriziny-vaovao)
all project areas (all project areas),NA,antanambao manampontsy,28,antananarivo avaradrano,28,antanambao manampontsy,port-berge (boriziny-vaovao),antananarivo avaradrano,antananarivo atsimondrano,maroantsetra,mananara-avaratra,amparafaravola,1er arrondissement,2e arrondissement,3e arrondissement,4e arrondissement,5e arrondissement,6e arrondissement,ambohimahasoa,fenerive est,befandriana nord,tsaratanana,antsalova,ampanihy ouest,amboasary-atsimo,ambohidratrimo,manjakandriana,andramasina,antsirabe i,antanifotsy,antsirabe ii,soavinandriana,ambatofinandrahana,ambositra,manakara atsimo,farafangana,toamasina i,brickaville,toamasina ii,sainte marie,soanierana ivongo,ambatondrazaka,anosibe-an'ala,mandritsara,analalava,maevatanana,ambovombe-androy,taolagnaro,belo sur tsiribihina,antsiranana ii,antsiranana i,antalaha,anjozorobe,tsiroanomandidy,fenoarivobe,fianarantsoa i,ambalavao,manandriana,mananjary,befotaka,moramanga,mahajanga i,soalala,ambato boeni,bealanana,besalampy,morafenobe,beroroha,betioky atsimo,sakaraha,benenitra,betroka,morondava,ankazobe,betafo,ambatolampy,faratsiho,arivonimamo,miarinarivo,ikalamavony,lalangina,isandra,fandriana,ifanadiana,nosy-varika,iakora,vangaindrano,midongy-atsimo,mahanoro,marolambo,vavatenina,andilamena,marovoay,mahajanga ii,antsohihy,ambatomainty,maintirano,toliary-i,morombe,ankazoabo,toliary-ii,beloha,tsihombe,ambilobe,ambanja,sambava,andapa,vohemar,mandoto,vohibato,vohipeno,vondrozo,vatomandry,mitsinjo,kandreho,manja,mahabo,miandrivazo,nosy-be,ikongo,ihosy,ivohibe,mampikony,bekily
toamasina ii,toamasina ii,toamasina ii,0,toamasina ii,0,toamasina ii,toamasina i,mahajanga ii,andramasina,antsirabe ii,mahajanga i,tsaratanana,toliary-ii,taolagnaro,antsiranana ii,antsirabe i,miarinarivo,lalangina,ifanadiana,moramanga,soalala,bealanana,toliary-i,antsiranana i,ambatolampy,faratsiho,mandoto,fianarantsoa i,ambalavao,vohibato,ambositra,fandriana,mananjary,farafangana,vatomandry,mahanoro,marolambo,vavatenina,mitsinjo,analalava,mampikony,maevatanana,maintirano,morafenobe,sakaraha,tsihombe,manja,mahabo,miandrivazo,ambilobe,ambanja,sambava,antanifotsy,arivonimamo,soavinandriana,fenoarivobe,ikalamavony,isandra,manandriana,nosy-varika,vohipeno,iakora,vangaindrano,sainte marie,andilamena,ambato boeni,marovoay,mandritsara,antsohihy,besalampy,ambatomainty,antsalova,ankazoabo,morondava,nosy-be,antalaha,andapa,vohemar,ambohidratrimo,ankazobe,manjakandriana,anjozorobe,betafo,tsiroanomandidy,ambohimahasoa,manakara atsimo,ikongo,ihosy,ivohibe,vondrozo,befotaka,brickaville,maroantsetra,fenerive est,soanierana ivongo,amparafaravola,ambatondrazaka,befandriana nord,kandreho,beroroha,morombe,ampanihy ouest,benenitra,beloha,bekily,betroka,amboasary-atsimo,midongy-atsimo,anosibe-an'ala,betioky atsimo,ambovombe-androy,ambatofinandrahana,mananara-avaratra,2e arrondissement,3e arrondissement,4e arrondissement,5e arrondissement,6e arrondissement,belo sur tsiribihina,1er arrondissement,antanambao manampontsy,antananarivo avaradrano,antananarivo atsimondrano,port-berge (boriziny-vaovao)
mahanoro,mahanoro,mahanoro,0,mahanoro,0,mahanoro,mahabo,mandoto,mananjary,isandra,iakora,marovoay,taolagnaro,manja,ambanja,ankazobe,betafo,faratsiho,miarinarivo,ambalavao,lalangina,vohibato,manandriana,ikongo,vohipeno,ihosy,vondrozo,vatomandry,marolambo,moramanga,mahajanga i,mitsinjo,bealanana,mampikony,kandreho,maintirano,morafenobe,ankazoabo,sakaraha,ambilobe,vohemar,anjozorobe,ambositra,vangaindrano,maroantsetra,vavatenina,soalala,mahajanga ii,analalava,maevatanana,antsalova,beroroha,morombe,benenitra,beloha,betroka,morondava,miandrivazo,antalaha,sambava,andapa,ambatolampy,antanifotsy,ikalamavony,fandriana,ifanadiana,ivohibe,farafangana,befotaka,toamasina i,ambato boeni,mandritsara,antsohihy,tsaratanana,besalampy,toliary-i,tsihombe,bekily,nosy-be,manjakandriana,andramasina,arivonimamo,fenoarivobe,ambohimahasoa,toamasina ii,amparafaravola,andilamena,ambatomainty,toliary-ii,ambohidratrimo,antsirabe i,soavinandriana,fianarantsoa i,nosy-varika,manakara atsimo,brickaville,sainte marie,ambatondrazaka,ampanihy ouest,antsiranana i,antsirabe ii,midongy-atsimo,befandriana nord,ambovombe-androy,antsiranana ii,tsiroanomandidy,mananara-avaratra,fenerive est,soanierana ivongo,anosibe-an'ala,betioky atsimo,amboasary-atsimo,ambatofinandrahana,2e arrondissement,3e arrondissement,4e arrondissement,5e arrondissement,6e arrondissement,1er arrondissement,antananarivo avaradrano,antanambao manampontsy,antananarivo atsimondrano,belo sur tsiribihina,port-berge (boriziny-vaovao)
antananarivo avaradrano,antananarivo avaradrano,antananarivo avaradrano,0,antananarivo avaradrano,0,antananarivo avaradrano,antananarivo atsimondrano,mananara-avaratra,vangaindrano,antanambao manampontsy,manjakandriana,ambatofinandrahana,manandriana,manakara atsimo,amparafaravola,antanifotsy,arivonimamo,miarinarivo,soanierana ivongo,ambatondrazaka,mandritsara,analalava,befandriana nord,tsaratanana,antsalova,maintirano,taolagnaro,miandrivazo,antsiranana ii,antsiranana i,ambohidratrimo,andramasina,antsirabe i,antsirabe ii,soavinandriana,fenoarivobe,fianarantsoa i,ambalavao,ikalamavony,fandriana,ifanadiana,mananjary,farafangana,mahanoro,maroantsetra,anosibe-an'ala,maevatanana,ankazoabo,amboasary-atsimo,antalaha,tsiroanomandidy,ambohimahasoa,lalangina,isandra,nosy-varika,vondrozo,toamasina i,vatomandry,marolambo,toamasina ii,sainte marie,fenerive est,vavatenina,andilamena,ambato boeni,marovoay,bealanana,kandreho,betioky atsimo,ampanihy ouest,sakaraha,benenitra,ambovombe-androy,1er arrondissement,2e arrondissement,3e arrondissement,4e arrondissement,5e arrondissement,6e arrondissement,ankazobe,anjozorobe,ambatolampy,faratsiho,mandoto,vohibato,ambositra,vohipeno,iakora,midongy-atsimo,brickaville,moramanga,mahajanga i,soalala,mahajanga ii,antsohihy,mampikony,ambatomainty,toliary-i,beroroha,toliary-ii,betroka,morondava,ambanja,sambava,andapa,vohemar,betafo,ikongo,ivohibe,befotaka,mitsinjo,morafenobe,tsihombe,manja,mahabo,belo sur tsiribihina,ambilobe,ihosy,besalampy,morombe,beloha,nosy-be,bekily,port-berge (boriziny-vaovao)
tsiroanomandidy,tsiroanomandidy,tsiroanomandidy,0,tsiroanomandidy,0,tsiroanomandidy,vatomandry,tsaratanana,antsiranana ii,antsiranana i,andramasina,arivonimamo,soavinandriana,ikalamavony,ifanadiana,mananjary,moramanga,marovoay,ambatomainty,tsihombe,antsirabe i,ambatolampy,antsirabe ii,mandoto,miarinarivo,lalangina,isandra,manandriana,iakora,farafangana,midongy-atsimo,toamasina i,toamasina ii,sainte marie,maroantsetra,mahajanga i,soalala,mahajanga ii,antsohihy,bealanana,beroroha,ambovombe-androy,taolagnaro,morondava,ambohidratrimo,ankazobe,manjakandriana,antanifotsy,faratsiho,fianarantsoa i,ambohimahasoa,fandriana,nosy-varika,manakara atsimo,ikongo,ihosy,ivohibe,vangaindrano,mahanoro,marolambo,vavatenina,andilamena,ambato boeni,analalava,mampikony,maevatanana,besalampy,antsalova,maintirano,morafenobe,toliary-i,morombe,ankazoabo,betioky atsimo,sakaraha,toliary-ii,betroka,manja,miandrivazo,ambanja,antalaha,sambava,andapa,vohemar,anjozorobe,betafo,fenoarivobe,ambalavao,vohibato,ambositra,vohipeno,vondrozo,befotaka,brickaville,soanierana ivongo,amparafaravola,ambatondrazaka,anosibe-an'ala,mitsinjo,mandritsara,befandriana nord,kandreho,benenitra,beloha,bekily,amboasary-atsimo,mahabo,ambilobe,nosy-be,ampanihy ouest,1er arrondissement,2e arrondissement,3e arrondissement,4e arrondissement,5e arrondissement,6e arrondissement,ambatofinandrahana,mananara-avaratra,fenerive est,antanambao manampontsy,belo sur tsiribihina,antananarivo avaradrano,antananarivo atsimondrano,port-berge (boriziny-vaovao)
andramasina,andramasina,andramasina,0,andramasina,0,andramasina,fandriana,andilamena,toamasina i,moramanga,mandritsara,analalava,tsaratanana,antalaha,andapa,faratsiho,ikalamavony,lalangina,manandriana,ifanadiana,farafangana,toamasina ii,vavatenina,bealanana,maevatanana,antsalova,ankazobe,manjakandriana,antsirabe i,antsirabe ii,miarinarivo,ambalavao,isandra,ambositra,nosy-varika,manakara atsimo,sainte marie,soalala,antsohihy,kandreho,ambatomainty,ankazoabo,sakaraha,manja,miandrivazo,antsiranana i,ambanja,sambava,anjozorobe,antanifotsy,mandoto,arivonimamo,soavinandriana,fianarantsoa i,ambohimahasoa,mananjary,iakora,vangaindrano,vondrozo,befotaka,vatomandry,mahanoro,marolambo,maroantsetra,amparafaravola,ambatondrazaka,mahajanga i,mitsinjo,mahajanga ii,mampikony,besalampy,maintirano,morafenobe,toliary-i,beroroha,morombe,toliary-ii,betroka,morondava,mahabo,antsiranana ii,vohemar,ambohidratrimo,betafo,ambatolampy,tsiroanomandidy,fenoarivobe,vohibato,vohipeno,ihosy,ivohibe,midongy-atsimo,brickaville,fenerive est,soanierana ivongo,anosibe-an'ala,ambato boeni,marovoay,befandriana nord,benenitra,beloha,tsihombe,bekily,taolagnaro,ambilobe,nosy-be,ikongo,mananara-avaratra,betioky atsimo,amboasary-atsimo,ambatofinandrahana,ampanihy ouest,2e arrondissement,3e arrondissement,4e arrondissement,5e arrondissement,6e arrondissement,ambovombe-androy,1er arrondissement,antanambao manampontsy,belo sur tsiribihina,antananarivo avaradrano,antananarivo atsimondrano,port-berge (boriziny-vaovao)
tsaratanana,tsaratanana,tsaratanana,0,tsaratanana,0,tsaratanana,farafangana,maevatanana,vavatenina,bealanana,andramasina,ifanadiana,toamasina i,moramanga,analalava,sakaraha,antsiranana i,antalaha,faratsiho,ikalamavony,lalangina,isandra,fandriana,manandriana,toamasina ii,mahajanga i,soalala,maintirano,taolagnaro,antsiranana ii,ambanja,sambava,manjakandriana,miarinarivo,soavinandriana,ambalavao,mananjary,befotaka,vatomandry,mahanoro,marolambo,maroantsetra,amparafaravola,andilamena,marovoay,mahajanga ii,mandritsara,antsalova,morafenobe,manja,morondava,andapa,ankazobe,antsirabe i,betafo,ambatolampy,antsirabe ii,arivonimamo,tsiroanomandidy,fianarantsoa i,ambositra,nosy-varika,iakora,vangaindrano,sainte marie,anosibe-an'ala,mampikony,besalampy,ambatomainty,toliary-i,beroroha,ankazoabo,toliary-ii,tsihombe,betroka,mahabo,miandrivazo,antanifotsy,mandoto,fenoarivobe,ambohimahasoa,vohibato,ikongo,vohipeno,ambatondrazaka,ambato boeni,mitsinjo,antsohihy,kandreho,morombe,benenitra,beloha,ambilobe,vohemar,anjozorobe,manakara atsimo,ihosy,ivohibe,vondrozo,brickaville,mananara-avaratra,fenerive est,befandriana nord,bekily,nosy-be,ambohidratrimo,ambatofinandrahana,soanierana ivongo,betioky atsimo,amboasary-atsimo,midongy-atsimo,ampanihy ouest,2e arrondissement,3e arrondissement,4e arrondissement,5e arrondissement,6e arrondissement,ambovombe-androy,1er arrondissement,antanambao manampontsy,belo sur tsiribihina,antananarivo avaradrano,antananarivo atsimondrano,port-berge (boriziny-vaovao)
marolambo,marolambo,marolambo,0,marolambo,0,marolambo,morombe,mahabo,ambatolampy,ambalavao,marovoay,faratsiho,mandoto,miarinarivo,iakora,mahanoro,moramanga,besalampy,ankazoabo,taolagnaro,manja,morondava,ambilobe,ankazobe,betafo,arivonimamo,vohibato,ambositra,mananjary,ikongo,ivohibe,befotaka,vatomandry,andilamena,soalala,mitsinjo,analalava,mampikony,kandreho,maintirano,morafenobe,beroroha,sakaraha,beloha,tsihombe,betroka,miandrivazo,nosy-be,ambanja,antalaha,sambava,andapa,vohemar,anjozorobe,ikalamavony,lalangina,isandra,fandriana,vohipeno,ihosy,farafangana,vondrozo,maroantsetra,mahajanga i,mandritsara,bealanana,maevatanana,tsaratanana,ambatomainty,antsalova,toliary-i,bekily,andramasina,fenoarivobe,ambohimahasoa,manandriana,ifanadiana,toamasina i,toamasina ii,vavatenina,amparafaravola,ambato boeni,mahajanga ii,antsohihy,toliary-ii,benenitra,ambohidratrimo,antsirabe i,antanifotsy,nosy-varika,manakara atsimo,vangaindrano,midongy-atsimo,brickaville,sainte marie,ambatondrazaka,manjakandriana,antsirabe ii,fianarantsoa i,fenerive est,betioky atsimo,ambovombe-androy,amboasary-atsimo,antsiranana i,soavinandriana,tsiroanomandidy,anosibe-an'ala,befandriana nord,ampanihy ouest,antsiranana ii,2e arrondissement,3e arrondissement,4e arrondissement,5e arrondissement,6e arrondissement,mananara-avaratra,soanierana ivongo,1er arrondissement,ambatofinandrahana,antanambao manampontsy,antananarivo avaradrano,belo sur tsiribihina,antananarivo atsimondrano,port-berge (boriziny-vaovao)
